policy_segment,decision_reason,count
high_risk,low_acceptance_probability,1715
high_risk,negative_expected_value,1324
high_risk,approved_high_margin,32
high_risk,review_flag_triggered,6
low_risk,low_acceptance_probability,93
low_risk,approved_high_margin,42
low_risk,approved_profitable_balanced,8
low_risk,negative_expected_value,3
low_risk,review_flag_triggered,2
medium_risk,low_acceptance_probability,1691
medium_risk,negative_expected_value,350
medium_risk,approved_high_margin,148
medium_risk,review_flag_triggered,11
outside_risk_appetite,risk_too_high,4575
